USAF,WBAN,STATION NAME,CTRY,ST,RGN,CALL,LAT,LON,ELEV(M),BEGIN,END
690014,99999,C STN  WHITE SANDS,US,NM,W,,32.35,-106.367,1224.0,19870101,19910611
690020,93218,JOLON HUNTER LIGGETT MIL RES,US,CA,W,KHGT,36.0,-121.233,317.0,19640715,19970401
690020,99999,JOLON HUNTER LIGGETT MIL RES,US,CA,W,KHGT,36.0,-121.233,317.0,20030702,20030801
690070,93217,FRITZSCHE AAF,US,CA,W,KOAR,36.683,-121.767,43.0,19600404,19930831
690090,99999,HURLBURT FLD/EXERCIS,US,FL,S,,30.433,-86.717,3.0,20081010,20081017
690110,99999,SELFRIDGE ANGB/TRAIN,US,MI,MW,,42.608,-82.835,177.0,19430614,19920507
690140,93101,EL TORO MCAS,US,CA,W,KNZJ,33.667,-117.733,116.7,19890101,19990630
690150,93121,TWENTY NINE PALMS,US,CA,W,KNXP,34.294,-116.147,610.5,19900102,20220428
690150,99999,TWENTYNINE PALMS,US,CA,W,KNXP,34.3,-116.167,626.0,19891115,19891229
690170,99999,IND SPRNG RANGE 63,US,NV,W,KL63,36.533,-115.567,972.0,19800514,20081231
690174,99999,INDIAN SPRINGS RANGE,US,NV,W,L63,36.533,-115.567,972.0,19780823,19800430
690190,13910,ABILENE DYESS AFB,US,TX,S,KDYS,32.433,-99.85,545.3,19431201,20091231
690190,99999,DYESS AFB/ABILENE,US,TX,S,,32.417,-99.85,545.0,20000103,20041230
690200,99999,GOVERNOR HYDE,US,NC,S,,35.25,-76.167,2.0,19800418,19810304
690210,99999,ALLIGATOR BRIDGE,US,NC,S,,35.9,-76.0,2.0,19800418,19840929
690220,99999,ALBEMARLE BRIDGE,US,NC,S,,35.983,-76.5,2.0,19800418,19840929
690230,24255,WHIDBEY ISLAND NAS,US,WA,W,KNUW,48.35,-122.667,14.3,19891201,20090602
690240,99999,PACIFIC BEACH,US,WA,W,KNIX,47.217,-124.2,18.0,19800603,19851031
690250,99999,KITTY HAWK SCHOOL,US,NC,S,,36.1,-75.75,3.0,19800922,19810223
690260,99999,CHEBOYGAN,US,MI,MW,,45.65,-84.467,176.0,19800611,20011023
690280,99999,PORT ISABEL (CGS),US,TX,S,,26.067,-97.167,5.0,19820627,19831116
690290,99999,PORT ARANSAS,US,TX,S,,27.833,-97.067,2.0,19820625,20041129
690310,3125,YUMA PROVING GROUND,US,AZ,W,,32.833,-114.4,98.8,19870701,19900420
690320,99999,BLAINE HARBOR MUNI,US,WA,W,WA09,48.983,-122.733,21.0,19920416,19940303
690330,99999,HOOD CANAL BRIDGE,US,OR,W,K4S2,45.667,-121.533,192.0,19910307,20080106
690500,99999,FORT CHAFFEE,US,AR,S,KQCU,35.167,-94.2,143.0,19830119,19830119
690524,99999,2 CWSS TMQ-53,US,FL,S,,30.417,-86.667,9.0,19910315,20020516
