,station_num,year,month,day,temp_ft,dewpt_ft,visib_mi,wind_knt,maxwind_knt,GUST,fog,rain,snow,hail,thunder,tornado,max_temp_frnht,min_temp_frnht,precip_in,precip_flag,slp_mb,STP,SNDP,WBAN
0,720276,2005,1,1,70.2,0.0,7.5,0.0,20.0,32.1,0,0,0,0,0,0,84.2,60.8,0.0,C,,,,
1,720276,2005,1,2,0.0,67.4,8.5,0.0,0.0,22.0,1,0,0,0,0,0,78.8,66.2,0.0,H,,,,
2,720276,2005,1,3,75.5,68.4,0.0,12.4,20.0,25.1,1,0,0,0,0,0,82.4,71.6,0.0,D,,,,
3,720276,2005,1,4,73.8,65.5,0.0,12.5,0.0,0.0,0,0,0,0,0,0,82.4,64.4,0.0,D,,,,
4,720276,2005,1,5,74.2,65.1,10.0,0.0,0.0,0.0,0,0,0,0,0,0,84.2,0.0,0.0,I,,,,
5,720276,2005,1,6,56.2,52.0,7.3,10.3,0.0,22.0,1,0,0,0,0,0,75.2,46.4,0.0,D,,,,
6,720276,2005,1,7,46.3,0.0,4.0,7.1,11.1,0.0,1,0,0,0,0,0,53.6,42.8,0.0,D,,,,
7,720276,2005,1,8,0.0,53.1,4.3,3.5,7.0,0.0,1,0,0,0,0,0,60.8,53.6,0.0,D,,,,
9,720276,2005,1,10,71.5,63.5,8.7,10.7,18.1,28.0,0,0,0,0,0,0,82.4,64.4,0.0,D,,,,
10,720276,2005,1,11,70.4,61.1,0.0,0.0,18.1,27.0,0,0,0,0,0,0,84.2,60.8,0.0,C,,,,
11,720276,2005,1,12,74.1,63.6,10.0,17.2,28.0,0.0,0,0,0,0,0,0,84.2,68.0,0.0,I,,,,
12,720276,2005,1,13,68.2,47.1,10.0,13.8,0.0,26.0,1,0,0,0,0,0,75.2,53.6,0.0,D,,,,
13,720276,2005,1,14,52.2,30.1,10.0,6.8,0.0,0.0,0,0,0,0,0,0,66.2,37.4,0.0,I,,,,
14,720276,2005,1,15,50.5,38.7,10.0,4.8,0.0,0.0,0,0,0,0,0,0,66.2,37.4,0.0,I,,,,
15,720276,2005,1,16,50.4,36.2,10.0,8.2,13.0,0.0,0,0,0,0,0,0,62.6,37.4,0.0,I,,,,
16,720276,2005,1,17,50.1,38.5,10.0,7.8,13.0,18.1,0,0,0,0,0,0,0.0,35.6,0.0,I,,,,
17,720276,2005,1,18,61.5,53.7,0.0,7.4,14.0,0.0,1,0,0,0,0,0,66.2,57.2,0.0,H,,,,
19,720276,2005,1,20,61.7,56.1,6.0,2.8,0.0,0.0,1,0,0,0,0,0,75.2,53.6,0.0,C,,,,
20,720276,2005,1,21,66.0,55.3,10.0,0.0,0.0,20.0,0,0,0,0,0,0,80.6,55.4,0.0,I,,,,
21,720276,2005,1,22,68.8,0.0,0.0,0.0,14.0,0.0,0,0,0,0,0,0,80.6,0.0,0.0,C,,,,
22,720276,2005,1,23,55.2,0.0,10.0,12.4,22.0,0.0,1,0,0,0,0,0,78.8,42.8,0.0,D,,,,
23,720276,2005,1,24,0.0,35.0,10.0,3.6,11.1,0.0,0,0,0,0,0,0,66.2,41.0,0.0,I,,,,
24,720276,2005,1,25,0.0,0.0,0.0,4.8,15.0,0.0,0,0,0,0,0,0,78.8,46.4,0.0,D,,,,
25,720276,2005,1,26,68.5,58.2,8.3,6.5,13.0,0.0,1,0,0,0,0,0,82.4,53.6,0.0,D,,,,
26,720276,2005,1,27,0.0,62.2,0.0,6.3,13.0,18.1,1,0,0,0,0,0,77.0,64.4,0.0,D,,,,
27,720276,2005,1,28,60.2,55.6,0.0,6.6,11.1,0.0,1,0,0,1,0,0,73.4,51.8,0.0,H,,,,
29,720276,2005,1,30,0.0,60.8,4.7,7.6,13.0,18.1,1,0,0,0,0,0,78.8,0.0,0.0,H,,,,
30,720276,2005,1,31,57.6,55.7,2.6,8.1,0.0,20.0,1,1,0,0,0,0,71.6,50.0,0.0,H,,,,
31,720276,2005,2,1,45.7,43.6,1.8,10.0,15.0,18.1,1,1,0,0,0,0,48.2,44.6,0.0,H,,,,
32,720276,2005,2,2,46.3,40.3,2.6,11.5,0.0,0.0,1,0,0,0,0,0,51.8,44.6,0.0,D,,,,
33,720276,2005,2,3,46.4,37.2,2.4,0.0,14.0,0.0,0,0,0,0,0,0,51.8,42.8,0.0,D,,,,
34,720276,2005,2,4,50.2,40.2,2.5,4.0,8.0,0.0,1,0,0,0,0,0,57.2,46.4,0.0,D,,,,
35,720276,2005,2,5,0.0,46.8,6.5,5.0,0.0,0.0,0,0,0,0,0,0,66.2,46.4,0.0,D,,,,
36,720276,2005,2,6,66.0,0.0,8.4,8.3,0.0,22.0,1,0,0,0,0,0,80.6,57.2,0.0,D,,,,
37,720276,2005,2,7,0.0,62.1,7.4,4.8,13.0,0.0,0,0,0,0,0,0,78.8,62.6,0.0,D,,,,
38,720276,2005,2,8,0.0,63.6,5.3,4.5,18.1,22.0,1,1,0,0,0,0,78.8,62.6,0.0,D,,,,
40,720276,2005,2,10,54.1,42.0,8.3,11.1,0.0,0.0,0,0,0,0,0,0,62.6,50.0,0.0,D,,,,
41,720276,2005,2,11,56.5,44.0,10.0,8.0,12.0,0.0,0,0,0,0,0,0,66.2,53.6,0.0,I,,,,
42,720276,2005,2,12,62.3,52.5,6.1,7.5,21.0,27.0,1,1,0,0,0,0,77.0,51.8,0.0,D,,,,
43,720276,2005,2,13,70.8,0.0,0.0,0.0,0.0,21.0,1,0,0,0,0,0,86.0,64.4,0.0,H,,,,
44,720276,2005,2,14,0.0,55.4,5.4,3.4,8.0,0.0,1,1,0,0,0,0,87.8,57.2,0.0,D,,,,
45,720276,2005,2,15,0.0,0.0,0.0,10.4,0.0,22.0,0,0,0,0,0,0,87.8,0.0,0.0,D,,,,
46,720276,2005,2,16,72.3,61.7,0.0,8.3,21.0,26.0,0,0,0,0,0,0,86.0,64.4,0.0,D,,,,
47,720276,2005,2,17,68.8,61.6,0.0,0.0,0.0,22.0,0,0,0,0,0,0,78.8,62.6,0.0,D,,,,
48,720276,2005,2,18,61.5,57.0,7.1,8.4,0.0,18.1,1,0,0,0,0,0,0.0,57.2,0.0,D,,,,
50,720276,2005,2,20,71.6,63.7,8.5,10.0,0.0,21.0,1,0,0,0,0,0,78.8,66.2,0.0,D,,,,
51,720276,2005,2,21,73.0,64.3,8.6,0.0,13.0,18.1,0,0,0,0,0,0,80.6,68.0,0.0,D,,,,
52,720276,2005,2,22,72.3,64.6,8.3,7.8,14.0,0.0,0,0,0,0,0,0,82.4,68.0,0.0,D,,,,
53,720276,2005,2,23,73.6,63.4,0.0,8.7,0.0,21.0,0,0,0,0,0,0,87.8,62.6,0.0,D,,,,
54,720276,2005,2,24,0.0,62.6,7.5,0.0,20.0,0.0,1,0,0,0,0,0,80.6,62.6,0.0,D,,,,
55,720276,2005,2,25,0.0,51.1,0.0,10.8,15.0,20.0,0,0,0,0,0,0,68.0,51.8,0.0,D,,,,
56,720276,2005,2,26,55.0,52.1,7.2,7.4,15.0,0.0,1,0,0,0,0,0,0.0,53.6,0.0,H,,,,
57,720276,2005,2,27,57.4,50.2,0.0,6.7,12.0,0.0,1,0,0,0,0,0,73.4,50.0,0.0,H,,,,
58,720276,2005,2,28,61.1,51.2,8.1,4.8,14.0,0.0,1,0,0,0,0,0,73.4,50.0,0.0,D,,,,
59,720276,2005,3,1,61.2,52.7,6.8,7.1,0.0,25.1,1,0,0,0,0,0,77.0,50.0,0.0,D,,,,
60,720276,2005,3,2,66.7,0.0,10.0,0.0,0.0,21.0,0,0,0,0,0,0,73.4,60.8,0.0,I,,,,
61,720276,2005,3,3,0.0,0.0,8.8,5.1,13.0,0.0,0,0,0,0,0,0,73.4,60.8,0.0,D,,,,
62,720276,2005,3,4,63.7,54.4,0.0,6.5,14.0,18.1,0,0,0,0,0,0,80.6,51.8,0.0,D,,,,
63,720276,2005,3,5,67.2,0.0,10.0,8.5,15.0,0.0,1,0,0,0,0,0,73.4,62.6,0.0,D,,,,
64,720276,2005,3,6,0.0,63.0,0.0,8.6,18.1,0.0,1,0,0,0,0,0,75.2,64.4,0.0,H,,,,
65,720276,2005,3,7,72.6,62.4,0.0,0.0,0.0,22.0,0,0,0,0,0,0,86.0,66.2,0.0,D,,,,
66,720276,2005,3,8,67.0,50.4,10.0,8.2,21.0,28.0,1,0,0,0,0,0,82.4,55.4,0.0,D,,,,
68,720276,2005,3,10,64.8,51.0,0.0,3.2,0.0,0.0,0,0,0,0,0,0,80.6,51.8,0.0,D,,,,
69,720276,2005,3,11,67.5,0.0,10.0,6.6,0.0,0.0,0,0,0,0,0,0,77.0,55.4,0.0,I,,,,
70,720276,2005,3,12,65.4,0.0,0.0,6.5,0.0,22.0,0,0,0,0,0,0,82.4,53.6,0.0,D,,,,
71,720276,2005,3,13,73.6,57.8,10.0,10.0,0.0,21.0,0,0,0,0,0,0,0.0,60.8,0.0,I,,,,
72,720276,2005,3,14,66.3,47.1,10.0,8.2,18.1,0.0,0,0,0,0,0,0,0.0,55.4,0.0,I,,,,
73,720276,2005,3,15,66.0,58.3,0.0,6.3,18.1,0.0,1,0,0,1,0,0,80.6,60.8,0.0,D,,,,
74,720276,2005,3,16,57.7,52.0,6.1,15.5,0.0,33.0,1,0,0,1,0,0,66.2,48.2,0.0,H,,,,
75,720276,2005,3,17,54.4,0.0,10.0,6.0,13.0,0.0,0,0,0,0,0,0,0.0,44.6,0.0,I,,,,
76,720276,2005,3,18,0.0,45.1,10.0,8.6,18.1,0.0,0,0,0,0,0,0,82.4,44.6,0.0,I,,,,
78,720276,2005,3,20,0.0,63.2,7.2,4.1,13.0,20.0,0,0,0,0,0,0,84.2,62.6,0.0,D,,,,
79,720276,2005,3,21,73.3,63.5,0.0,0.0,15.0,0.0,0,0,0,0,0,0,86.0,66.2,0.0,I,,,,
80,720276,2005,3,22,0.0,51.5,7.7,7.3,15.0,25.1,0,0,0,0,0,0,86.0,62.6,0.0,D,,,,
81,720276,2005,3,23,67.5,43.2,10.0,6.0,18.1,0.0,0,0,0,0,0,0,86.0,50.0,0.0,I,,,,
82,720276,2005,3,24,71.2,57.5,10.0,8.8,0.0,0.0,0,0,0,0,0,0,87.8,0.0,0.0,I,,,,
83,720276,2005,3,25,75.0,65.3,7.4,7.1,0.0,21.0,0,0,0,0,0,0,82.4,66.2,0.0,D,,,,
84,720276,2005,3,26,74.7,66.2,0.0,5.1,0.0,21.0,0,0,0,0,0,0,0.0,68.0,0.0,D,,,,
85,720276,2005,3,27,66.6,46.6,0.0,15.8,28.0,0.0,1,0,0,0,0,0,82.4,57.2,0.0,D,,,,
86,720276,2005,3,28,63.1,40.5,10.0,0.0,15.0,0.0,0,0,0,0,0,0,82.4,46.4,0.0,I,,,,
88,720276,2005,3,30,76.8,0.0,8.7,0.0,0.0,0.0,0,0,0,0,0,0,0.0,71.6,0.0,C,,,,
89,720276,2005,3,31,75.7,0.0,8.7,5.6,0.0,0.0,0,0,0,0,0,0,0.0,64.4,0.0,D,,,,
90,720276,2005,4,1,0.0,47.6,0.0,14.7,0.0,0.0,0,0,0,0,0,0,82.4,62.6,0.0,D,,,,
91,720276,2005,4,2,60.7,30.8,10.0,5.3,0.0,27.0,0,0,0,0,0,0,78.8,42.8,0.0,I,,,,
92,720276,2005,4,3,62.0,45.0,10.0,7.4,15.0,0.0,0,0,0,0,0,0,78.8,44.6,0.0,I,,,,
93,720276,2005,4,4,0.0,0.0,10.0,10.0,0.0,26.0,0,0,0,0,0,0,82.4,57.2,0.0,I,,,,
94,720276,2005,4,5,74.3,63.2,10.0,11.4,18.1,0.0,0,0,0,0,0,0,87.8,68.0,0.0,I,,,,
95,720276,2005,4,6,77.0,55.6,0.0,10.1,0.0,25.1,0,0,0,0,0,0,0.0,64.4,0.0,D,,,,
96,720276,2005,4,7,72.7,37.4,10.0,0.0,18.1,27.0,0,0,0,0,0,0,87.8,0.0,0.0,I,,,,
97,720276,2005,4,8,0.0,40.0,10.0,4.3,18.1,22.0,0,0,0,0,0,0,87.8,50.0,0.0,I,,,,
99,720276,2005,4,10,0.0,65.1,10.0,12.7,22.0,27.0,0,0,0,0,0,0,86.0,0.0,0.0,I,,,,
100,720276,2005,4,11,0.0,57.3,8.5,0.0,21.0,26.0,0,0,0,0,0,0,0.0,71.6,0.0,D,,,,
101,720276,2005,4,12,71.0,40.5,10.0,4.5,0.0,21.0,0,0,0,0,0,0,0.0,51.8,0.0,I,,,,
102,720276,2005,4,13,71.5,47.2,0.0,5.7,0.0,27.0,0,0,0,0,0,0,0.0,53.6,0.0,D,,,,
103,720276,2005,4,14,70.5,50.4,0.0,6.0,14.0,26.0,0,0,0,0,0,0,86.0,53.6,0.0,D,,,,
104,720276,2005,4,15,0.0,53.4,10.0,7.5,15.0,25.1,0,0,0,0,0,0,80.6,55.4,0.0,I,,,,
105,720276,2005,4,16,68.7,55.3,0.0,6.6,18.1,22.0,0,0,0,0,0,0,82.4,55.4,0.0,I,,,,
106,720276,2005,4,17,71.3,0.0,10.0,0.0,0.0,0.0,1,0,0,0,0,0,80.6,62.6,0.0,D,,,,
107,720276,2005,4,18,71.5,61.2,10.0,0.0,20.0,26.0,0,0,0,0,0,0,78.8,64.4,0.0,I,,,,
109,720276,2005,4,20,75.1,65.8,0.0,10.3,0.0,22.0,0,0,0,0,0,0,84.2,68.0,0.0,D,,,,
110,720276,2005,4,21,76.5,66.6,0.0,7.8,0.0,0.0,0,0,0,0,0,0,87.8,0.0,0.0,D,,,,
111,720276,2005,4,22,76.3,66.3,7.1,4.5,15.0,0.0,0,0,0,0,0,0,0.0,66.2,0.0,D,,,,
112,720276,2005,4,23,74.2,55.5,8.6,8.7,18.1,25.1,0,0,0,0,0,0,82.4,68.0,0.0,D,,,,
113,720276,2005,4,24,67.0,43.8,10.0,4.7,13.0,0.0,0,0,0,0,0,0,78.8,55.4,0.0,I,,,,
114,720276,2005,4,25,74.2,60.1,0.0,7.6,13.0,15.0,1,0,0,0,0,0,0.0,64.4,0.0,H,,,,
